date,sector,avg_change_pct,avg_rsi,avg_adx,avg_macd_diff,breadth_sma20,breadth_sma50,breadth_sma200,total_fund_flow,avg_relative_volume,total_market_cap,composite_score,stock_count
2025-01-06,Basic Materials,1.4167,61.5,25.17,0.4333,1.0,1.0,1.0,606600.0,1.15,345000000000.0,67.68,3
2025-01-06,Consumer Cyclical,1.05,56.75,25.98,1.4,0.75,0.75,0.75,3648000.0,1.1325,4250000000000.0,61.15,4
2025-01-06,Consumer Defensive,0.19,53.04,18.48,0.26,0.8,0.8,0.8,51500.0,0.8,2103000000000.0,57.24,5
2025-01-06,Consumer Discretionary,0.25,54.1,18.2,0.3,1.0,1.0,1.0,8000.0,0.82,213000000000.0,62.48,1
2025-01-06,Energy,-1.36,34.02,23.98,-0.54,0.0,0.0,0.0,-657500.0,1.156,980000000000.0,31.75,5
2025-01-06,Financial,0.5983,55.85,21.83,0.4833,1.0,1.0,1.0,328150.0,0.8617,3555000000000.0,64.43,6
2025-01-06,Healthcare,0.15,47.82,21.88,0.226,0.4,0.4,0.6,-149550.0,0.98,2126000000000.0,52.26,5
2025-01-06,Industrials,0.6625,56.92,21.25,0.525,1.0,1.0,1.0,129700.0,0.905,704000000000.0,64.63,4
2025-01-06,Real Estate,-0.425,43.65,17.35,-0.325,0.0,0.0,1.0,-37300.0,0.9,208000000000.0,58.95,2
2025-01-06,Technology,1.4917,63.58,28.28,0.9833,1.0,1.0,1.0,9998000.0,1.1383,15550000000000.0,69.23,6
2025-01-06,Utilities,0.15,52.6,14.7,0.0833,1.0,1.0,1.0,31000.0,0.81,343000000000.0,61.16,3
2025-01-07,Basic Materials,2.0133,63.6,26.37,0.56,1.0,1.0,1.0,1057080.0,1.25,350000000000.0,69.76,3
2025-01-07,Consumer Cyclical,-0.1125,55.85,26.15,1.1375,0.75,0.75,0.75,-642980.0,1.0675,4256000000000.0,57.92,4
2025-01-07,Consumer Defensive,0.278,53.42,18.62,0.296,0.8,0.8,0.8,129930.0,0.804,2111000000000.0,57.56,5
2025-01-07,Consumer Discretionary,0.33,54.8,18.5,0.35,1.0,1.0,1.0,9900.0,0.78,214000000000.0,62.86,1
2025-01-07,Energy,-1.482,32.36,25.2,-0.676,0.0,0.0,0.0,-829600.0,1.282,965000000000.0,31.39,5
2025-01-07,Financial,0.9317,57.55,22.68,0.6617,1.0,1.0,1.0,699940.0,0.9283,3582000000000.0,65.78,6
2025-01-07,Healthcare,-0.426,46.44,22.16,0.124,0.4,0.4,0.6,-539790.0,1.016,2120000000000.0,50.63,5
2025-01-07,Industrials,0.785,57.75,21.75,0.6425,1.0,1.0,1.0,157610.0,0.9325,710000000000.0,65.23,4
2025-01-07,Real Estate,-0.82,42.2,18.1,-0.44,0.0,0.0,0.5,-79800.0,0.96,206000000000.0,45.35,2
2025-01-07,Technology,0.9633,62.5,27.77,1.0167,1.0,1.0,1.0,5825400.0,1.0417,15675000000000.0,67.73,6
2025-01-07,Utilities,0.3567,53.3,15.0,0.1033,1.0,1.0,1.0,63600.0,0.7567,345000000000.0,61.83,3
2026-02-11,その他,23.7097,55.6,0.0,0.0,0.5,0.5,0.5,1384734.06,1.0461,341633209475.1251,58.1,495
2026-02-11,エネルギー鉱物,142.3442,53.92,0.0,0.0,0.5,0.5,0.5,-1675221.87,0.9206,1865867152420.4353,57.88,185
2026-02-11,テクノロジーサービス,1113.1686,45.54,0.0,0.0,0.5,0.5,0.5,2730267627.72,1.9468,14693788013350.9,58.91,1494
2026-02-11,ヘルスケアサービス,368.0866,48.4,0.0,0.0,0.5,0.5,0.5,-9625274.64,0.9035,791983862753.6023,57.22,174
2026-02-11,ヘルスケアテクノロジー,98.169,47.21,0.0,0.0,0.5,0.5,0.5,5531564388.43,1.9894,6502868817458.584,65.73,1290
2026-02-11,交通・輸送,38.0916,56.76,0.0,0.0,0.5,0.5,0.5,13589272.32,1.2314,1465792412562.3208,58.27,278
2026-02-11,公益事業,-0.0248,57.22,0.0,0.0,0.5,0.5,0.5,10586502.55,0.9853,1756273616406.9265,45.72,162
2026-02-11,商業サービス,48.3144,48.27,0.0,0.0,0.5,0.5,0.5,156514463.64,2.8455,1184927159926.1306,58.65,797
2026-02-11,小売業,86.6119,52.88,0.0,0.0,0.5,0.5,0.5,-94623891.07,1.6141,6645549607845.231,57.65,489
2026-02-11,政府,0.0586,57.29,0.0,0.0,0.5,0.5,0.5,0.23,0.645,415969742.0,45.88,2
2026-02-11,流通サービス,-0.3122,55.92,0.0,0.0,0.5,0.5,0.5,678066.7,1.218,1100671301128.2983,44.82,387
2026-02-11,消費者サービス,168.7502,52.35,0.0,0.0,0.5,0.5,0.5,34094441.82,1.3456,2391294176096.6465,57.88,543
2026-02-11,生産財製造,133.1189,60.09,0.0,0.0,0.5,0.5,0.5,4593649.57,1.4505,4685687444517.962,58.52,907
2026-02-11,産業サービス,2832.6765,59.4,0.0,0.0,0.5,0.5,0.5,93266903.52,1.2595,1574844889335.947,59.03,371
2026-02-11,素材産業,56.7131,58.36,0.0,0.0,0.5,0.5,0.5,39865127.99,1.1587,1579072699423.5557,58.59,532
2026-02-11,耐久消費財,58.8822,55.77,0.0,0.0,0.5,0.5,0.5,470134.04,1.2311,2951971186464.7217,58.08,331
2026-02-11,通信,105.5171,51.54,0.0,0.0,0.5,0.5,0.5,41311801.04,1.148,1127114119783.4912,58.02,92
2026-02-11,金融,16.4754,56.46,0.0,0.0,0.5,0.5,0.5,3867866.51,1.1386,13597116573589.701,58.15,2188
2026-02-11,電子テクノロジー,59.5225,54.93,0.0,0.0,0.5,0.5,0.5,-45851027.54,1.7929,17434740918078.127,57.97,669
2026-02-11,非エネルギー鉱物,266.3563,53.79,0.0,0.0,0.5,0.5,0.5,17316250.65,1.0469,1165507405428.219,58.03,342
2026-02-11,非耐久消費財,296.4975,54.69,0.0,0.0,0.5,0.5,0.5,231385169.47,1.4909,2783555228511.986,58.8,429
2026-02-11,その他,23.7097,55.6,0.0,0.0,0.5,0.5,0.5,1384734.06,1.0461,341040212649.6255,58.1,495
2026-02-11,エネルギー鉱物,142.3442,53.92,0.0,0.0,0.5,0.5,0.5,-1675221.87,0.9206,1867838268983.7998,57.88,185
