date,sector,avg_change_pct,avg_rsi,avg_adx,avg_macd_diff,breadth_sma20,breadth_sma50,breadth_sma200,total_fund_flow,avg_relative_volume,total_market_cap,composite_score,stock_count
2026-02-11,その他,0.3137,55.63,23.84,0.0,0.6592,0.6897,0.6105,-972320.27,1.0466,340972706862.15204,53.85,493
2026-02-11,エネルギー鉱物,-1.0893,53.26,26.84,0.0,0.5763,0.5537,0.4237,-34942336.05,0.8746,1791291700992.902,45.87,177
2026-02-11,テクノロジーサービス,-0.3855,43.32,28.27,0.0,0.2519,0.2242,0.1964,5859557.41,2.371,14301608214643.201,41.44,901
2026-02-11,ヘルスケアサービス,2.0778,47.08,25.53,0.0,0.3768,0.2971,0.3406,-12770009.66,0.805,787289320468.1063,50.86,138
2026-02-11,ヘルスケアテクノロジー,0.6126,46.08,26.18,0.0,0.3466,0.3354,0.3881,910856412.56,2.0269,6019734663795.602,50.09,1157
2026-02-11,交通・輸送,1.0057,53.85,28.04,0.0,0.6205,0.6265,0.5904,342681.29,1.1227,1228494772010.0747,55.77,166
2026-02-11,公益事業,0.1917,55.72,26.75,0.0,0.6154,0.6692,0.5769,10319034.01,0.9448,1638797400588.2957,53.39,130
2026-02-11,商業サービス,0.6186,45.36,26.92,0.0,0.3371,0.2969,0.2254,11777712.01,3.7171,1065092965340.6714,44.71,448
2026-02-11,小売業,-1.225,48.19,27.12,0.0,0.3953,0.3834,0.3676,-66634049.7,1.9631,6232371695855.424,43.76,253
2026-02-11,政府,0.0,62.37,37.02,0.0,1.0,1.0,1.0,0.0,0.665,250209742.0,66.14,1
2026-02-11,流通サービス,-1.3449,49.8,27.26,0.0,0.4938,0.4812,0.3688,-1454892.86,0.9916,652273170736.7483,43.77,160
2026-02-11,消費者サービス,2.695,49.77,26.87,0.0,0.5016,0.4951,0.3803,13963201.73,1.3111,2223649984238.1084,54.16,305
2026-02-11,生産財製造,0.8339,55.25,27.78,0.0,0.5619,0.5773,0.5619,-12089951.88,1.0509,3342353934744.9956,54.68,388
2026-02-11,産業サービス,0.9259,54.79,28.97,0.0,0.6087,0.599,0.5266,10674158.76,1.0702,1401237626332.4453,54.33,207
2026-02-11,素材産業,1.285,52.57,27.18,0.0,0.5252,0.5036,0.3885,30717510.51,0.8161,1085078271397.0305,51.4,278
2026-02-11,耐久消費財,0.6745,51.45,25.3,0.0,0.4975,0.5075,0.407,-12737806.48,1.1776,2186893010602.9553,49.51,199
2026-02-11,通信,-2.0343,50.41,25.85,0.0,0.4493,0.4493,0.4058,205552.91,1.1383,747200204467.8752,42.77,69
2026-02-11,金融,0.2345,55.06,26.88,0.0,0.619,0.608,0.5293,-23708547.93,1.0875,12067850338921.863,52.18,1806
2026-02-11,電子テクノロジー,-0.5276,51.41,26.58,0.0,0.4676,0.5235,0.5011,-54953414.99,1.9473,16696338495833.0,49.13,447
2026-02-11,非エネルギー鉱物,0.2385,51.27,27.5,0.0,0.44,0.476,0.512,1126502.39,0.9555,1038307050507.6183,51.53,250
2026-02-11,非耐久消費財,0.9782,50.29,27.88,0.0,0.4772,0.4564,0.3527,3910829.84,1.6159,2435484625573.5254,49.38,241
2026-02-12,その他,-0.097,56.08,24.2,0.0,0.6633,0.7061,0.6224,-2768578.66,1.113,343223501986.54126,53.19,490
2026-02-12,エネルギー鉱物,1.1876,54.77,26.77,0.0,0.592,0.5747,0.477,37922115.82,0.8744,1837073164963.6216,53.43,174
2026-02-12,テクノロジーサービス,-2.7687,41.56,28.21,0.0,0.2299,0.2042,0.1864,-36113721.53,3.3142,13980961082403.438,35.01,896
2026-02-12,ヘルスケアサービス,1.2383,47.98,25.6,0.0,0.3885,0.3597,0.3525,-653178.46,0.8728,806727082793.8634,49.32,139
2026-02-12,ヘルスケアテクノロジー,-1.4017,45.45,26.24,0.0,0.3273,0.3212,0.3853,100444481.75,1.3397,6026374033618.802,43.59,1155
2026-02-12,交通・輸送,0.5462,53.81,28.36,0.0,0.5939,0.6,0.5939,-17656404.8,1.1203,1218231205249.006,54.62,165
2026-02-12,公益事業,-0.7239,56.32,27.05,0.0,0.6308,0.6923,0.5769,-2144440.49,0.9062,1653152699248.1062,51.14,130
2026-02-12,商業サービス,-1.1085,43.94,26.79,0.0,0.2906,0.2677,0.2128,-12887408.4,1.4082,1031714850956.4907,39.68,437
2026-02-12,小売業,-0.0895,48.22,27.15,0.0,0.3944,0.3785,0.3705,37187289.06,5.5457,6214744168181.056,46.85,251
2026-02-12,政府,0.041,63.28,36.25,0.0,1.0,1.0,1.0,45.93,9.2542,250312329.0,66.18,1
2026-02-12,流通サービス,1.2647,50.5,27.18,0.0,0.5063,0.4937,0.3861,4826253.15,10.181,663612172219.6285,50.87,158
2026-02-12,消費者サービス,0.4333,49.03,27.16,0.0,0.5065,0.4967,0.3889,-8498794.4,1.1882,2206719185319.182,48.6,306
2026-02-12,生産財製造,0.3571,55.47,28.47,0.0,0.5725,0.5751,0.5648,-1489102.58,0.909,3416002186734.206,53.75,386
2026-02-12,産業サービス,1.2,55.76,29.39,0.0,0.5922,0.5922,0.5291,160707305.5,2.1501,1425861555016.302,56.31,206
